0aa5 fb1b
cb5a 615e
28aa 9b9a
6183 64b2
8000 af8d
5188 4aba
fa20 80db
8000 78e5
865d 4cc4
cb5f bf99
d1c3 6a8e
b2df c5cb
2380 befe
7508 8f28
435f 0058
dfcd 8000
9b05 c6a7
cad4 d45a
8000 7240
29c8 1328
7fff 7d54
4ee0 7326
e57e c214
7fff c5c1
b57f 8000
49aa 7fff
c0bb ab27
7fff 8000
7fff 7fff
b6ce 60c7
8000 8000
8000 dc36
7fff c847
0e06 93d8
acb7 b904
b413 0456
beca 6acb
8000 8000
1253 b0bb
7fff 0aa5
1459 8000
ea5c 0434
8000 6ed5
056e 8000
7fff 7fff
92db a4df
9db7 1bde
8000 8000
f145 2d2f
f4f5 8000
0a24 8000
1fa6 3377
8000 f150
dcf2 130f
7fff eafb
86fd 2b3f
7fff aac7
c26b fb54
5a7a ea52
92cd 6d18
958a 2185
688f 8000
bf80 dfa1
7fff bdad
7fff 4207
805c 8000
8000 8962
8e0b 0b86
9509 e3c8
0ffc c8d6
e4a7 8000
c085 7fff
f8b4 2838
427d 3c5c
48ee 7fff
8000 5b89
554a 23b4
b071 c373
c32e 7fff
b96f 5ac6
711b e645
093e 4b4b
317f 8000
7fff 10b5
27d1 e02c
3c91 9b7c
8000 3cbf
496f 0db3
9716 c748
7fff f1da
087b ae40
8000 ec41
81c2 8000
8442 8000
a51f f5ef
ae84 a18b
8000 a173
8000 4661
0cf4 501e
8000 d021
43df 25a1
70cf dba0
70e9 2310
8000 d555
d331 bcb7
894d eeaa
b10c 10c0
980c fc67
7fff 339c
8000 e0b5
cd94 cb31
9e9f c8c7
7fff d8d0
95ba 7fff
89bf 7fff
8722 7fff
70af 0813
fc4d 7fff
6489 2060
505d fb89
7fff e7d7
c87e 40b8
4b12 09b7
27a5 d2fc
8000 7fff
2d49 322b
c4d4 2474
7fff 1092
7fff f525
d57e a69d
a180 ff60
3ae4 36db
8000 7946
955a 5759
84a4 f33b
25c0 5430
8000 744a
c459 0930
7fff 64b2
8000 717e
7fff 0121
2efc 8a18
8325 0690
5cbd eca6
7fff 61ec
3354 fdc2
cb6b 8000
3fd6 de83
7fff 5f9e
352c 37a1
1817 8000
e408 5751
a4b0 7fff
7fff ee84
4624 7205
b741 7fff
fe9a 7fff
299e bf1b
973b f5f0
1ccf 2a80
8000 ab98
149d e071
d645 1d52
8000 c27f
1339 8000
f074 7fff
bec9 b969
7972 8000
8772 8000
4d92 0d18
a1d5 71ca
deb4 d60f
f633 d3f8
8000 3cbf
dc41 8a41
e195 0b9b
9299 7fff
869a 015e
b176 fb46
962f b88e
7fff 29b5
7fff 7be8
6b88 f36d
57eb b125
a5da 22ac
7fff d8b5
31aa 0188
259a 7096
a5b9 64ed
390c 0511
ffe1 4e9d
68ec 52dc
77e5 524b
8000 2902
8000 d0e2
8000 a955
404b 4d12
64d3 7fff
0017 7fff
7752 3f83
d138 8000
1e73 8000
8000 3d85
7786 c2f8
8000 72e4
3baa 1a6e
7fff ac9d
8000 42a6
ae97 7fff
7fff 2f60
7ab7 04b9
8000 7166
f1bb 1eed
8000 c8e5
dbb5 7fff
7fff 34f5
7fff eeb7
e870 6a18
afa8 8000
d84b 1921
7fff ee7b
1423 e98e
c8bd 7fff
2121 4c1d
fc13 7fff
5c1f 2362
b108 7fff
f870 7fff
370c 7fff
f530 fc5e
d4d3 8000
c8ab 49a0
96bb 3dbd
d519 7fff
b619 f54e
abf4 355c
018f e9b1
7fff b525
48f2 7841
536e b0e4
1505 f3d1
d9d9 6142
cf98 7a3d
b302 c8f9
8000 3fe6
bb2c 68d0
f8fd 7fff
7fff cea0
7fff 7fff
f813 d9a5
1e6d 15fc
47ba 7ad7
8000 ee30
bca6 dd15
7b51 7fff
f409 3733
7fff 6105
4248 8000
07c9 a84b
7fff 1a8a
2fee 8000
7fff 7fff
820f 4169
eeae 3786
08ae dd2a
1d9a 7fff
e3cb 1beb
51aa ffcc
7fff 7fff
5d79 21c1
7379 158d
94e7 eb72
b5ec 99e1
7fff 1f16
7640 4415
fcab 0325
0536 7fff
f2f5 df99
7fff 40a3
75c1 6c75
7903 a373
cf6e d1e7
88d8 9c10
3afe 4bd6
5955 f798
257c 8000
7fff 8775
8000 6d78
c0ce 627a
1d47 1287
8000 7ba0
4e21 5b19
5ee3 7fff
3004 8000
426e 8000
7fff 7fff
19db e139
8000 1fa6
0761 00ef
26b2 563a
7fff e632
7fff 82f0
a287 bc4d
030e baac
e340 8000
4baa 7fff
9a77 072e
d35c 7666
e93f 398c
4e3c e172
241a 6cf7
7409 bd31
7fff cb86
08fe 78af
89ba e739
7434 53a3
2ffb c580
4f37 c665
7fff faef
ec1b 8000
cd5a 7fff
0c1f 7fff
bef9 92e7
08bc c47f
e5a8 f68b
cddc 8000
c409 0d27
a9ed 34b9
798f 63f1
4097 77fd
71ab 7fff
2503 1f83
d4c2 7fff
e51c d828
6a71 22cd
51c4 a66f
d749 527b
3f76 01f0
7fff b717
33ca 366d
f882 7fff
8000 c4fc
cacd 0703
4f94 a299
8000 eb84
9670 8000
ccd2 7fff
12c3 e864
8000 7fff
4484 8000
1faf 8122
7fff 6609
059e 0be8
8fec cf91
0e28 cb2f
2a1d 4693
7992 e2f0
f432 90f4
a700 7fff
0553 1980
d681 8000
7504 11fb
a1dd 7fff
2948 9234
6f7d 0cc3
7fff 8000
7fff 0172
1058 da9d
8be8 e111
cbb2 d641
5a10 7fff
25c8 d097
b6a7 1ab6
aa55 15ea
457d dff7
b1a3 876d
17a0 0c1f
6673 7fff
8000 dbdb
5fa3 23e7
844a f7cb
a9b6 1bd8
13a9 7fff
8f43 3869
a046 6eaf
c525 0759
ee3d 7fff
81b2 7e71
3ffa b714
eeab d59f
7fff c8ee
8169 8000
83e9 c207
61d6 7fff
9beb 25d7
7fff 8000
3476 7ba6
1883 9a3a
7fff 8000
d76b 7fff
d285 7fff
8000 13f7
d56b d232
a82e bad9
35c8 f976
6b6a c5eb
a3ba 8000
4c75 9103
7fff 39c0
f228 13b5
f29c 01ef
0a53 bc4a
2a75 7fff
ec03 33f2
a041 5bfe
19fc 8000
7fff 2f8b
7fff 32c5
deb0 6549
7fff d925
f627 7fff
7ea5 77f3
7fff 5235
c693 8000
ea45 7fff
0038 8000
579c e3fb
7fff 8000
8000 8000
94e6 8000
0389 b791
5ea2 20a3
a90d a49e
6841 7fff
bae5 8000
cb44 8000
9d18 07a9
cadb a159
5cc1 1872
8000 1738
25ef 0357
dd4f 128a
8000 7dce
35bd f25e
12c0 d8db
a9ee 31eb
ac42 25ba
f7e4 76d3
2a2f 3666
55db 660d
8000 33a4
7fff 0c38
16b7 e3d9
a1a5 cd81
6f2e 7fff
4ae7 03ae
f653 7fff
8000 164e
d545 8000
7fff 8000
8000 3984
022b 7fff
7fff a2d2
52da 7fff
5c07 6448
aa4c 8000
6d4c 9759
0d7b ff23
dff8 7fff
5673 3ce4
644a b066
fbca d59a
7fff 1a80
c18c d498
f48a b299
a848 8000
e329 e390
bc43 edcb
8000 8000
f517 c1db
4e42 8000
7fff eb46
f0fb 7fff
300c 7f2e
c35b dff7
b7fd 7fff
c3ae 4f1f
dd05 2f88
d4d8 7fff
4de9 e3bf
66a4 8000
3142 3db3
e695 c8a3
7fff 5f7f
b1fd 8000
19e5 7fff
2ccd 8000
2843 8000
5d21 1b77
bc2a 6338
c4db f9b9
4510 f0d1
3da9 f907
aa20 e542
8177 f523
377f 7fff
ed40 8000
7fff 03fd
283c 7fff
ffe0 8000
fc1a d494
8000 7fff
868a 0e15
bb5c 8000
8660 8000
f1b8 8000
2efd 2e08
7fff 7fff
7fff 8000
2842 0457
1da3 2be7
1630 2b5a
1a4c 8000
e41c b35b
c0bd e39f
3964 dbd9
6cf4 8e2b
acd8 e4e3
fee9 c3f4
8000 7fff
7fff 33d0
ec5b 3102
8c36 7fff
2699 7fff
b7cd 7ad3
7fff 7fff
282b 2df8
ef8d a438
bd5b c631
74e3 bc61
1029 7fff
7fff 292d
a294 ee32
7fff 30f5
1405 49b8
c66f 2a29
0cca 17e0
ac6b e42e
17a7 7fff
6a47 140c
8000 b60b
42e7 0243
bc00 8000
a0ee 7fff
421a 2a91
caa4 2979
8000 3292
7fff 653d
e892 7251
f496 ed92
340d 057d
e65f 8000
8000 0f7e
8000 8000
e5c5 8000
a6cf b6b5
7fff 8000
bf64 f6e3
7fff dadb
b7fa 7fff
8000 6ccb
7fff c524
01f7 8000
4464 db80
f57a 7fff
8c1b 9071
17f4 db38
8409 f014
bba8 1525
7018 ff8b
6f60 3f49
8000 f83e
7fff 9aa5
06be 22bf
e921 03c4
9c49 fa3d
2fdb 7fff
8000 a3a1
a16f eed7
6fb0 a540
c6cc 8000
b8b7 ee25
f5f7 8000
0ace 7fff
bc73 8000
1b3c 57f5
8000 1bdf
5fca 617b
b8aa e11c
9b23 dad5
3513 f582
8000 7fff
449a 1142
3b77 358c
e854 aa52
fac3 5219
3f24 86cb
c911 7fff
a9bd 1607
934b e7ee
7fd6 4a39
7fff f8c4
25a9 2b88
d9c3 ca60
4143 7fff
3e59 d22d
030b 0682
52fb 5b1d
d0ae 8000
b1f1 1a6c
62ae 04a1
268e 8000
d2e0 39ac
d6e4 8000
4d6a c0fd
0ffc 50a9
aefe 8000
8000 33c5
7a5f 7fff
ea8e 8000
c0f2 2a11
ac31 eb3d
1e12 5f1d
12cf b5f2
cb2d 3167
f56e c0a2
7fff a5b5
ab29 48bc
12ff 9b65
dfb2 8000
8000 0a5f
c4ec 2f85
8000 8000
2b7c e699
2ddc da44
7fff 8eaa
7fff 5b29
0e73 ef23
ca41 c6bd
da3c 359d
7fff 0536
dd39 7fff
7fff 301e
8000 0fe8
f25d 0070
a348 b0c5
fc84 7fff
8000 8000
6b8d 0120
cc98 68f3
20b6 1d95
8000 7fff
919b 48ee
6570 0627
bc88 190e
206d 7fff
8000 8000
ea13 8a8d
02b4 3b10
1c38 8000
db39 2093
77a0 da93
a4b3 bea8
8000 9be6
c5cc 0167
8000 7fff
bdb9 04e4
03d9 5248
7fff 8000
12e3 7fff
7fff a5f0
c514 ba3e
b88c 7d96
9590 e2fc
f43d 6ac9
d95d 487e
a742 7fff
120e a891
1801 7fff
7fff 4bbd
8000 8000
ee9d 59f7
46cd 5950
543a baf3
f81b 364c
8000 c2de
a4fd 7fff
20d5 8000
8ecb 7fff
a992 e64d
7fff 95a8
e95c f670
6868 f418
57d0 6890
c3a1 5020
7fff 7992
b415 8000
7fff 269e
7fff 7fff
ce86 02be
6b93 3fc5
e014 7fff
3f47 352a
7ec7 01b0
4f59 da30
4572 e803
dabe c7bf
0691 3295
5721 7fff
7fff 8000
d965 0471
b5ee 8364
7efc 4151
2d9c 0572
a515 3b11
ff36 e122
8000 572f
001c 55e5
ea3e fb62
9c71 160e
402b 7fff
ce64 f70e
7fff 7b1b
8000 2d77
3ed6 fc61
8000 4c1b
7fff bde7
fad2 d3ce
7fff 8000
d6e6 8d17
600c f890
2608 9d9b
1b05 199d
cf47 f6cf
7fff c086
8000 a87b
7fff 8000
9336 c09b
8000 4df1
e0af e04e
7fff f2ce
5ff2 11ff
c8dc 2505
6bf7 e76c
d619 8000
5101 2700
bbea 15c2
9561 39d0
6518 8ef6
e525 e1b8
e704 be4d
7fff 2f0a
8000 7190
e9cb 7fff
2a7b 0d87
14f6 dc6f
2b8c 7fff
7fff 48ca
7fff 2db4
740b 4f39
f9bd 007b
3751 cc3e
937b 425a
d447 bb1a
bcf9 de67
78c6 309f
7fff 7fff
7fff b093
99ee 8000
d998 a648
8000 04dd
aecd 3937
8000 9e43
40b8 7223
04ce 3bac
adff f9da
7fff f1a8
8000 4965
ca67 ddad
8000 c47c
401b c63e
988a 8000
7fff c980
469b b6c6
129d 0316
cbde 0650
bed1 03f3
8000 d02c
8000 8000
c04f cf3a
8000 bb2c
2c42 8000
ec50 e8c3
feea 7fff
7f12 d97b
1d7f 8dab
3ddd 055f
bf89 bb20
7fff 4fb5
52b8 8000
7fff 0dd0
8000 079f
ab25 c73c
7fff 75e4
7fff 5981
53a6 8000
12b7 8000
8000 fc30
6fe1 7fff
c7a2 0029
9679 0fca
3cd5 59e3
cacc 8f23
156d e501
469a 6ee8
8000 ec5f
afb6 8d79
3c2f 66ee
7fff 8000
c197 6c9c
f667 2bcf
7975 c3fc
60e4 8000
7fff 8178
acd7 031d
7fff 4f08
7ef4 d342
7fff c17d
04af 7fff
60fb 357c
fc0e 37c9
8000 1a6e
0b6d fa66
8000 83ae
20ff 63db
b733 7ea2
7fff 515d
87b1 7fff
8000 7faf
071f e0ab
4d81 1627
8000 1726
8000 47d4
fe4f 0ba8
4db9 fe9a
eb9c a501
8000 0bb8
eb41 049e
28cb 6690
c9e1 7fff
0d06 ae73
4bb3 9ece
2c2b d3da
54ae 6ad4
e589 8000
1bb1 3121
b2d4 9efd
f406 c066
f9e3 a60e
7fff c33b
7fff b10c
ff63 10d9
8000 fda7
3728 d95c
8362 0346
f0cd 385b
7fff 1f05
7fff 8000
0e07 31cc
0d8c bc71
02f3 a35f
7fff 9979
2828 7fff
0b99 eeb0
f56a 7fff
9203 370d
22fd 7fff
8419 8000
500c 47ed
0204 7fff
7fff 2983
a079 8000
aca6 3339
08a0 66fe
d980 8000
2770 303d
0de5 8000
b48c d729
e6e3 57de
fa17 dcee
7fff 8000
8000 7fff
9f75 bca0
1736 8903
039d 42a6
33a3 7fff
ec99 0b97
078a 7fff
f1e8 1611
8000 80e1
2767 da10
ad10 8000
3695 bffd
7fff 7c3b
8000 7e27
7fff 848c
826b 8000
5bbc 8000
0978 d326
bd00 16f4
dd89 8000
3efe e2bd
8000 3aed
8000 0cc9
8f9b 7fff
e1d3 ef3b
7fff ad08
8000 620e
da48 a7b5
1547 3a77
4289 73f0
0846 6102
97ac d209
4b76 3f4e
f41d 5026
9b23 c0f1
49be 78e3
7428 0721
9f82 8000
0a5d 7fff
050a d267
8000 49f5
b560 568b
1fc1 fa06
60a7 ff87
80f4 8745
1502 406c
99cf 8000
2c6f a4fd
da03 51dd
f87d deff
8000 4aec
7f8b 8000
49c1 8000
d8c5 f828
de29 1c70
ba43 8000
8000 8000
8000 05e9
7fff afb0
53d5 8942
1301 f0c8
e8b4 1e07
ef6b 6fb5
07df 81b2
7fff 547a
fa1f 5549
ce62 6256
de96 7fff
a070 8000
03ac bf98
8000 f687
1820 7fff
c384 deb3
d29f 8000
7f6a 8000
8000 a219
8000 4453
f8cc 7fff
ad24 42bc
1534 dc3b
8366 f257
057b 8000
a15a 7fff
3c30 a5b7
e732 2797
8918 8dca
14e9 d7d9
aee2 fe0e
37ca ad59
7fff 4a31
7fff 12a5
8000 e4ce
7fff 83af
ff48 6a4c
0067 e59e
c6d4 8000
9910 1d5e
d660 c326
7fff 8000
814d 7552
8000 94f4
0754 ead2
6d9c dffb
8000 3966
7fff 1717
c8a9 05bf
63fb 228d
2ebe f79b
337a 5ca1
5b02 0f77
1e21 1411
bbdb 7099
820f a263
cbb5 3d14
bb9e 8497
f630 5407
cd0d 250d
8000 7fff
1240 96c1
2adf 8000
4862 28e2
e5bb 7fff
9adb c477
7fff 67c8
7fff 5720
7fff 3cdf
b4d0 b992
01cb 9d6a
511a 7437
8000 921e
a36c a586
0eb0 0f17
4bdd 8000
25e1 d811
017c f829
4d7e 9b4c
24d7 7fff
7fff d14b
379e bd42
3408 ab77
0c63 8cbf
7fff 0ba9
0b01 7fff
948a 57bf
ce23 ef61
9c7b d72e
225a fec1
1644 b533
cd36 39a4
958f 7fff
973b 368f
8000 65db
8000 d288
deee dfe8
8000 51e5
8884 3399
6e60 d677
7634 118e
7fff 7fff
f7cd 695a
e6cf 23ad
27a6 7fff
6e8e 7fff
df7c 0d86
a88a 952a
6b6a 8000
14de 00cb
8000 8000
8000 e582
c0c0 7fff
e4d6 a515
7fff e7bc
8d1e 8a16
2600 cf94
dc7e ba53
7fff ae91
49fd 7fff
1b9d 18ae
8000 9b9d
8000 1a4e
bafb b179
d1f4 8000
69b6 ace4
7fff 0f77
7fff e598
a755 18c3
8000 2354
28f8 7fff
8000 4484
50f6 7eea
0a58 f53c
a4e3 36f7
9a26 1221
66ed 74c6
ccf4 f134
3ef5 7fff
7fff c20e
53bc ecd6
8c0a 57b7
57d5 1836
7fff 34eb
7fff 17f8
729e 7e42
7fff 7fff
8000 0074
71b3 0fd0
7fff 0bc1
401d f1a2
22d0 7fff
5466 995f
309a fdbb
62a1 02b0
7fff 8000
7fff 8a4e
7fff ed8f
8e57 d42f
3596 7466
130c 7fff
a65e 7fff
d43e 509b
5907 4822
9762 7fff
f3bc 0a4d
7fff eb65
262a 2c07
eaad 8000
3893 10da
e391 2911
40be 8000
7fff 7fff
0f40 2913
52dd 7fff
2778 8000
e25d ea5a
6261 0b60
ea36 8000
cfcb ec72
7698 8000
c5f6 e3b3
8000 752e
19d4 74b5
9afb da47
8000 6d29
4a30 3689
14bc 8000
2349 e078
f0c8 2411
ee73 0ca7
eb51 fdaa
7fff a9ca
8000 486b
8000 9fa2
584b 8000
7fff 3a92
7fff 22aa
8000 fe20
751c 9bbe
7fff 5ebd
b8c6 f974
7d93 cd0f
037c 7fff
aff4 d4c9
c050 8000
7fff 8000
1f0e 2de9
bc80 7fff
7fff ea0e
cfb7 9304
2426 7fff
351b 8000
5fe1 18c4
8924 2d7e
8000 e940
dd35 dabf
6e5b b20a
59d4 f799
7fff f867
8000 8000
da76 afff
d930 72f0
a1bb 77ac
b967 ff8c
5b6d 7331
fcff c0e5
3f57 b5ef
1263 7fff
4b6a 7fff
c617 96e5
3fd4 a640
fcd1 4995
93a5 a13c
5deb 6b4f
2c9c 7fff
379d 0df2
7fff 8000
16f4 ff29
a1fe 7fff
bc66 9f93
7fff ceb5
20a6 ba63
7fff bd3a
5fa2 bdda
ea20 aa16
a3f2 da79
bdfa 1f06
2e89 8065
2dbd d592
a576 235e
a25b c366
7fff 4cca
95d7 0dc3
66b2 7fff
7fff 7fff
3882 d21b
f2bb cf9e
6934 0584
e550 7a18
258d 7fff
0cf3 226d
ca73 7fff
8000 d894
7fff bafa
2aed 8000
33aa c01a
8000 31c5
7fff 12f8
7fff 7805
1210 972b
8eba 1654
0f72 d8a4
7fff 8000
378b 1629
b7e6 cf4b
0f74 d30d
37db 7fff
8c5b 8000
7fff c8a5
bdf8 9721
2fed 20c9
8000 d4d6
a733 a7a2
cbab 5a9c
215e 7fff
317a 8000
8000 7fff
cc52 e3cb
0b39 fe26
0943 597a
1b7d e2ab
1a9e a4a0
ab05 10db
7fff 5452
c64c 8000
9cc2 04ce
f646 1d8a
2378 ed95
9b4b 0c4f
7fff 269a
7fff f01b
87a5 5a46
7fff da3d
4b4a 0b86
7fff 8000
4a84 c16d
d782 f739
d912 3d03
4622 7fff
2e01 b7e3
c93f 09b6
bb2d b03c
8c1d 7fff
b0fb 178c
6b3b 2f03
0a08 7fff
1f79 97c6
8000 7fff
de5e c397
dde8 12a6
1ee6 114a
9d78 7fff
ef33 ddc1
0bc1 7fff
8000 0e28
2aa0 8000
3d38 ee4f
7fff d931
7fff 35df
8000 e55f
7fff e848
d223 041a
16c0 bf81
1a89 cd7e
c5e2 46b8
30b4 0035
a31d eb06
5a28 2fc0
cc08 fff9
eedf 8000
5fcb acc7
ca8e 1cf9
700d 7fff
7fff baa1
8000 3ef5
d1f4 e39f
023d f5bd
21f5 8000
8000 f016
01ac 3821
f5e2 0faa
b068 ee52
e2bf df94
fdda 0a55
8000 2ea3
d5bb 3de4
c802 2c6a
503c 24c2
b5be 7fff
8000 e390
478b f84a
ff8e e801
138b b331
8000 d7cc
8000 06f9
1b32 2eb7
d550 7fff
1633 4250
f51b caa5
f62d a13f
7fff a51a
30ec 2f04
8000 0cf5
f50b 286f
3512 fecf
8000 8000
73b2 cb70
1b16 d811
7fff 21eb
074c 842d
ef5d 5f1b
12b4 7af2
9347 945f
f806 522f
8000 1809
8000 b0dd
6c17 0468
7a3c 14b2
9516 daae
c910 b77f
c52b 8000
8000 7fff
98b7 5dfd
baad e053
0116 bcd9
4018 21ad
ca7f 4b0d
7fff 70d2
ab24 0e79
675d 8000
7fff abaf
8000 8000
c9f8 30f6
8000 b87e
8000 9af5
b5aa 8000
11ef f0be
c15c ddfd
85b9 bbbb
07f7 34ea
8000 0990
d721 f49b
7fff 900d
8000 d75a
b4e8 8000
8000 7fff
7fff 7fff
3b66 7fff
7fff efae
d6ed 5baa
047d 211c
0243 8000
8000 deba
efd1 c8e3
befc 7fff
7fff 8000
b5a0 dc7e
14f1 e75d
f50f 0677
8000 b73b
d2ac 7f87
4f8c 6d0f
8000 7fff
8469 02b8
5a77 cefc
06f1 d6f9
600f 7fff
a70b 146c
70fd b626
c860 da25
b3ab 6f2d
0580 7fff
a514 7fff
ee90 8104
8000 9b6a
b0fb 7fff
ea1f e516
0114 2ecf
c154 6670
f752 57e7
e353 8000
cdeb 7fff
1634 d4fc
0277 7fff
4651 7f94
8000 659c
f55d f28a
f85c 7fff
391b 7fff
0135 8000
8000 d4d6
ecce b697
1513 8000
494b 8000
357d 2633
0222 0345
7fff 5aca
109b d792
49a7 6002
f7ff 52ba
fb6a cb65
2a60 8000
88ea 8000
8000 8000
e3d4 f508
1bd9 c83d
7fff e912
8000 07e1
7fff e3fb
03f3 4faf
4618 0a59
9923 7fff
29d3 7a36
8000 92e0
7fff 3432
f9fc 69f3
7fff 8000
7f60 3071
c729 f8c8
37c9 3497
8000 7fff
6026 353a
8000 8cc7
184f 2f7c
dd70 5971
5e57 7fff
b721 e2c0
be8a 74c9
8000 8000
0458 f8f4
991b d3a6
7fff 8f0e
7fff 8000
3bff 64c1
278d 8000
8000 7fff
f62a a2ca
c025 7fff
b254 1d38
6818 18ca
4406 f395
645e 25fa
b58b e1b2
1701 8000
e493 99db
8000 8000
07a6 9fc6
c65e 8c06
882c 7fff
6461 7fff
ca6b 8000
7fff 2969
06f7 d03f
7fff 7fff
ea78 8000
7fff 1c77
8000 1ad4
f21a 8000
3b6f 3766
c7d3 b47f
377e c2f7
e4d4 6b88
37fb eba8
2e1c 096c
8000 0271
8000 2717
8000 e4f2
8000 f038
c1ac 4e9e
8f36 d465
16de 2799
0aec 8000
10a5 2939
e366 4d19
3e28 7fff
7fff 6e55
7fff 9720
102e c832
75d2 7fff
8306 7fff
8e04 7fff
63c8 8000
8000 7fff
db19 8000
3453 8000
1171 eb66
8000 7f28
a32d 8000
8000 a1c0
9bfe 8000
4482 012e
130e 8000
fca4 8f0a
b8cf 8000
89f1 8000
8000 9f42
22d7 6601
7962 9f09
341f dfdd
5366 7fff
3648 9ffa
d73e 8ae9
1935 b55a
d983 aa53
8000 e0d7
8000 5ab3
2b50 f47d
07b2 41d0
6bbb a026
9d72 7fff
7fff 7fff
7fff dfdb
17a4 82ac
8cad 33ba
54db f279
8000 fd53
1be9 3977
8c1e 6a50
fee0 cfe4
cff5 28dd
8000 8000
fe53 8000
2d80 529d
4765 9861
8000 86c8
cb11 900e
e8d6 7fff
4fb6 785e
7fff c3e8
8000 7fff
0ba0 7fff
7fff 7fff
29e6 c0f8
a1d0 7fff
92e4 f40e
a37d 5f82
ba11 031a
30c4 eebe
0cdb 48b3
d7e5 1752
24fa 3986
4fda 7fff
8d34 0d6e
917a 8000
646e 8000
7fff 7fff
e62a f9c1
8000 11f2
e0dd 7fff
3624 9124
5734 75c4
d90e 8dda
6590 48f4
7fff 8000
1301 7fff
5b0d 7fff
2b96 8a0a
8000 96b1
d35f 804c
8000 ff59
7fff f4cb
1de4 c404
8000 b962
3a01 4434
3199 4957
5827 926d
30b7 7351
06dc 5cd6
e940 c29f
8000 8000
b4b5 6c3a
dac0 8000
dc2e 9f32
248d 3233
8000 7466
8000 2378
fae3 b4bc
dadf 31ea
2b09 9054
0cfd 35f6
a3a0 eb71
8000 b3a7
7f31 f159
4527 8000
7f98 7fff
24cb b573
fd7a 3b2d
163b 7fff
147b 8000
4dd0 f8ef
ee4e 0415
fe2b 7fff
8000 fcbf
8000 a2c3
8000 8000
f92c eb92
7fff 0cc3
d598 e361
f836 89b7
eb0d 8000
c576 cda2
6e04 8000
1acb c516
2a58 23ce
94e6 7fff
1da5 8000
7fff 1b8f
1ab0 3bf6
409f 45c3
d227 f8f0
5b0d 6bec
46a9 8000
6363 21dc
4802 7fff
1784 6b12
8000 639a
d53c d864
8000 ea4d
e882 e5b3
4df8 54d8
1cb7 8000
eabb 5565
331e 77fa
da58 8000
25fa abed
7fff 47f7
1e19 7fff
fc90 4258
f9d9 2a71
c5d1 7fff
00f1 7fff
7fff 7fff
7fff a3dc
4501 8000
cc06 123a
ea82 8554
7fff 3ace
a1b4 7fff
95b0 7fff
8bcf 8f0f
d9fb d06b
87e2 065d
aa0d 4e4f
46da 7fff
7fff ae22
9ed1 e632
eeec c10a
bf23 7fff
5c95 dc0c
1a0b 9e26
8058 7fff
8000 7132
60f2 881d
8000 7b5c
6c61 77d1
8000 7fff
8000 7fff
c5e2 8000
8000 5a50
3cab 5955
2b2c 8000
a168 a49c
fc95 0330
1bf3 4c5c
4ef8 7fff
8000 62c3
9084 f1a8
686c 8000
5028 e4e0
77d1 7fff
5b64 ca90
8000 7654
c11f 12be
a1d2 48c6
826d 6d4a
7fff e50c
d4d7 27e8
7fff 480f
f1e7 8000
e330 5318
6210 dd24
52ed e9f3
7fff b623
fa99 7fff
6547 7fff
8000 daf2
7fff 2149
9046 f233
dc3e 0ab6
b337 a75b
1457 8000
6f9d f9e6
312c 3d6c
0841 a7b1
7fff ee24
70cd f76d
3b66 eb4e
5795 ebe9
1196 2ec8
4c47 28df
68e4 8000
7fff d36b
ec9e 76fe
d61d 8000
5528 d76d
537a ff06
1e11 7fff
b68e b98c
cdc9 8000
af9d 7fff
c521 a146
dd41 6e42
882e 08bd
79e7 2cdb
8000 e218
8000 8000
ad45 62fe
471e 0302
7fff 8000
ddf8 8e28
8000 d224
2a3e 8000
8000 7fff
8000 0fc0
7691 2758
ce99 e176
fc62 eec8
b531 8117
5b0f 8000
b32d 2de2
3c7f 7fff
9378 e305
8000 de9e
e4f6 8000
ece1 8000
55d0 d14a
1296 fc45
0dfd 5257
7fff f197
c72a 7fff
8000 f7b5
127e 7fff
b9a5 7fff
422a 1cd9
be7a 4941
511c 8000
6ce9 0bcb
7fff 8000
c2c4 00fd
ad4c aeb4
390a 8000
1f77 8eac
8000 e684
c288 3825
202c 435d
8000 02b1
8000 4af6
8000 ea96
f72a e274
8000 a148
8000 9b64
8000 9699
7fff 7fff
8000 c35e
7fff 7fff
0967 c0e8
a3fa 27d3
a98a 8000
db4a 6120
8000 99af
4c85 7fff
740e 0e85
1824 34c8
2db4 8964
654a b09a
d967 7fff
fba4 55c6
5ed6 2f7c
07ea 7fff
0e3d 8000
7fff ddc6
ed39 3f11
7fff 8000
7fff 46d3
f5a1 3b90
87c1 67b1
6935 109d
7fff a967
860b 8000
e1ce 0699
8000 6ddd
3774 c510
34fe 7fff
81ea eb61
e45a 0daf
a4bf c11c
7fff 95d6
0897 08dc
f0b6 997a
cace ce01
918a 95d1
9e20 dd89
0402 9a5f
8000 8488
8000 d642
4a14 45df
0f93 a048
e281 7fff
e6f5 e2c2
f9d7 8000
7fff 99d6
b2b7 108f
8000 7fff
c499 caef
ad4f 06b8
2852 8000
8000 8000
00a3 8000
8000 ce53
f2a3 0824
7fff 7fff
15e1 7fff
545d 7d9f
8000 ec36
549a 4d6f
3871 8fed
eb9f 1cf9
8d08 7fff
8000 994c
66b3 8000
8000 b519
21af 7fff
b95e 1fff
5d62 7fff
7fff 43db
f4c9 2172
8000 5290
1a52 8000
d139 791e
0445 9e99
e507 0fe7
8000 87b1
8bd7 7fff
18d2 2338
a442 5156
a067 8000
35e7 d4fb
632c 8000
